FLASH,DESS,FISP,PSIF,Class
15,15,118,99,CLU0
15,6,123,115,CLU0
20,25,58,46,CLU0
24,34,39,14,CLU0
33,22,27,14,CLU0
24,17,30,16,CLU0
17,17,31,0,CLU0
28,16,52,5,CLU0
27,16,37,26,CLU0
10,18,32,11,CLU0
9,10,15,6,CLU0
5,34,37,17,CLU0
12,34,51,18,CLU0
16,15,48,28,CLU0
14,12,21,5,CLU0
11,9,25,14,CLU0
4,10,20,1,CLU0
21,18,22,10,CLU0
11,17,12,12,CLU0
17,12,9,16,CLU0
19,29,19,5,CLU0
5,17,18,8,CLU0
2,25,31,20,CLU0
3,21,35,19,CLU0
1,10,25,3,CLU0
10,6,20,7,CLU0
9,19,9,4,CLU0
10,24,10,7,CLU0
11,27,16,1,CLU0
16,25,9,11,CLU0
10,24,6,10,CLU0
8,23,14,14,CLU0
8,19,3,6,CLU0
9,7,8,3,CLU0
4,16,6,2,CLU0
10,10,24,6,CLU0
7,18,27,6,CLU0
13,12,27,4,CLU0
6,17,16,8,CLU0
1,13,6,4,CLU0
18,17,1,9,CLU0
4,17,9,3,CLU0
10,23,6,8,CLU0
7,14,7,1,CLU0
6,21,16,3,CLU0
4,15,13,5,CLU0
5,10,6,4,CLU0
1,10,19,4,CLU0
6,7,4,15,CLU0
17,8,13,53,CLU0
7,14,35,37,CLU0
8,14,11,7,CLU0
13,13,7,26,CLU0
6,29,6,41,CLU0
14,26,14,27,CLU0
10,22,39,10,CLU0
6,18,56,28,CLU0
16,10,36,23,CLU0
10,15,29,38,CLU0
15,23,11,47,CLU0
11,29,17,48,CLU0
18,38,18,32,CLU0
6,21,24,16,CLU0
22,13,34,35,CLU0
23,21,36,41,CLU0
21,16,20,40,CLU0
17,17,26,72,CLU0
16,11,22,88,CLU0
24,10,39,71,CLU0
49,29,40,85,CLU0
83,61,30,63,CLU0
114,82,28,62,CLU0
148,99,90,89,CLU0
108,106,129,123,CLU0
95,103,155,145,CLU0
83,69,153,200,CLU0
113,67,127,153,CLU0
118,74,119,120,CLU0
112,59,96,156,CLU0
92,57,101,15,CLU0
101,50,134,55,CLU0
122,60,120,49,CLU0
139,49,112,33,CLU0
120,55,100,28,CLU0
103,54,116,40,CLU0
71,43,128,23,CLU0
73,22,158,69,CLU0
36,21,169,72,CLU0
5,19,129,48,CLU0
15,27,70,12,CLU0
23,15,56,49,CLU0
17,17,25,46,CLU0
11,18,24,26,CLU0
17,25,23,12,CLU0
22,21,22,19,CLU0
18,27,33,2,CLU0
16,33,39,8,CLU0
29,51,50,5,CLU0
29,57,35,6,CLU0
46,39,20,13,CLU0
44,38,35,5,CLU0
26,31,49,10,CLU0
31,26,57,17,CLU0
32,18,67,12,CLU0
10,12,64,17,CLU0
10,2,45,6,CLU0
17,22,22,18,CLU0
13,14,21,7,CLU0
10,38,12,21,CLU0
6,22,25,20,CLU0
3,19,24,14,CLU0
14,8,26,18,CLU0
5,25,11,16,CLU0
6,22,23,28,CLU0
11,26,15,11,CLU0
15,28,14,5,CLU0
13,28,13,12,CLU0
12,29,11,15,CLU0
5,24,3,11,CLU0
5,8,7,2,CLU0
2,11,6,5,CLU0
10,11,21,9,CLU0
4,14,28,11,CLU0
11,10,27,2,CLU0
6,18,17,6,CLU0
4,15,5,6,CLU0
11,14,12,7,CLU0
4,23,10,1,CLU0
11,24,9,9,CLU0
0,14,6,4,CLU0
9,21,14,6,CLU0
10,12,12,5,CLU0
3,8,14,9,CLU0
5,10,18,4,CLU0
7,4,4,8,CLU0
10,7,15,5,CLU0
4,4,10,8,CLU0
11,15,8,2,CLU0
5,17,7,7,CLU0
10,18,10,4,CLU0
12,15,8,66,CLU0
14,7,43,25,CLU0
12,11,28,49,CLU0
15,13,29,24,CLU0
12,15,9,8,CLU0
12,15,2,26,CLU0
3,24,1,43,CLU0
8,25,24,26,CLU0
18,23,48,12,CLU0
10,18,39,27,CLU0
6,11,22,25,CLU0
7,13,30,33,CLU0
16,24,24,35,CLU0
14,21,13,46,CLU0
20,37,15,38,CLU0
5,17,25,21,CLU0
14,9,33,28,CLU0
24,14,35,49,CLU0
9,15,17,49,CLU0
25,16,24,71,CLU0
26,19,15,67,CLU0
19,13,29,62,CLU0
38,17,29,80,CLU0
73,51,37,69,CLU0
100,85,11,63,CLU0
123,79,61,60,CLU0
95,60,125,107,CLU0
99,106,139,114,CLU0
96,64,132,177,CLU0
80,57,95,121,CLU0
112,61,126,16,CLU0
124,57,84,112,CLU0
106,69,83,42,CLU0
116,53,102,74,CLU0
112,58,100,47,CLU0
127,46,113,55,CLU0
131,45,105,58,CLU0
117,49,111,67,CLU0
108,60,124,66,CLU0
123,42,164,65,CLU0
94,44,178,79,CLU0
48,31,177,57,CLU0
51,26,121,41,CLU0
44,18,121,71,CLU0
46,45,76,97,CLU0
47,46,29,52,CLU0
54,42,42,12,CLU0
66,37,65,23,CLU0
61,49,84,36,CLU0
67,52,81,46,CLU0
81,59,75,44,CLU0
75,74,65,48,CLU0
82,60,69,26,CLU0
79,62,83,14,CLU0
67,55,96,58,CLU0
71,53,95,46,CLU0
70,51,115,35,CLU0
43,46,109,27,CLU0
33,27,84,33,CLU0
32,14,64,15,CLU0
5,17,64,16,CLU0
9,35,53,12,CLU0
13,23,21,12,CLU0
14,31,16,17,CLU0
0,25,41,26,CLU0
10,35,18,25,CLU0
4,20,26,32,CLU0
3,24,16,19,CLU0
10,28,25,6,CLU0
2,27,20,8,CLU0
3,27,10,10,CLU0
0,27,14,13,CLU0
2,15,10,6,CLU0
12,13,1,6,CLU0
3,16,10,13,CLU0
6,11,15,10,CLU0
1,13,16,4,CLU0
3,15,17,7,CLU0
5,18,9,9,CLU0
6,10,13,8,CLU0
1,23,7,4,CLU0
9,17,10,8,CLU0
3,16,8,8,CLU0
11,21,5,9,CLU0
9,9,7,6,CLU0
12,8,13,11,CLU0
3,8,13,9,CLU0
7,5,8,1,CLU0
7,8,13,11,CLU0
3,6,8,7,CLU0
11,13,6,5,CLU0
2,16,13,4,CLU0
13,17,17,7,CLU0
9,18,12,16,CLU0
6,17,15,4,CLU0
8,23,53,50,CLU0
16,7,14,53,CLU0
17,10,38,24,CLU0
5,16,26,46,CLU0
16,17,22,19,CLU0
5,15,11,7,CLU0
11,16,12,30,CLU0
9,23,16,40,CLU0
8,21,32,31,CLU0
16,28,38,16,CLU0
18,15,19,23,CLU0
6,13,39,36,CLU0
8,18,50,25,CLU0
13,25,32,30,CLU0
11,17,10,36,CLU0
11,28,24,36,CLU0
7,16,30,23,CLU0
12,4,28,31,CLU0
16,8,26,62,CLU0
1,15,23,63,CLU0
25,11,27,67,CLU0
29,19,13,47,CLU0
31,25,11,52,CLU0
26,10,17,72,CLU0
60,33,29,65,CLU0
85,85,42,64,CLU0
80,79,34,48,CLU0
100,40,118,76,CLU0
95,77,135,90,CLU0
95,66,95,130,CLU0
59,41,86,127,CLU0
95,35,79,60,CLU0
131,51,73,75,CLU0
123,67,56,36,CLU0
148,55,68,81,CLU0
107,63,89,39,CLU0
104,55,115,65,CLU0
116,46,121,56,CLU0
114,39,126,77,CLU0
118,60,134,95,CLU0
132,59,156,61,CLU0
129,50,177,97,CLU0
98,48,177,58,CLU0
107,38,146,50,CLU0
117,34,170,72,CLU0
126,60,133,125,CLU0
111,69,79,69,CLU0
110,54,107,55,CLU0
114,54,124,53,CLU0
92,60,137,80,CLU0
121,55,113,92,CLU0
127,60,114,95,CLU0
140,78,104,90,CLU0
130,65,84,53,CLU0
130,66,77,20,CLU0
146,60,82,96,CLU0
125,62,82,106,CLU0
125,64,109,99,CLU0
109,61,99,80,CLU0
83,51,84,92,CLU0
86,52,88,37,CLU0
55,41,89,54,CLU0
19,32,87,42,CLU0
11,23,75,14,CLU0
10,32,30,8,CLU0
18,34,11,14,CLU0
6,45,25,28,CLU0
11,29,40,21,CLU0
11,28,15,16,CLU0
8,28,19,5,CLU0
14,25,18,8,CLU0
15,20,25,5,CLU0
8,24,23,9,CLU0
7,23,19,16,CLU0
8,13,3,11,CLU0
10,22,1,14,CLU0
8,17,5,9,CLU0
10,19,8,5,CLU0
7,11,4,9,CLU0
8,20,9,6,CLU0
8,12,8,9,CLU0
4,16,5,4,CLU0
6,11,11,11,CLU0
1,14,2,8,CLU0
7,16,3,8,CLU0
4,11,4,8,CLU0
20,13,7,9,CLU0
8,8,6,11,CLU0
8,6,8,4,CLU0
3,9,10,10,CLU0
4,10,8,7,CLU0
7,12,5,1,CLU0
10,12,14,2,CLU0
10,17,16,8,CLU0
12,20,12,10,CLU0
7,14,9,4,CLU0
18,14,12,6,CLU0
18,33,121,93,CLU0
6,28,48,40,CLU0
6,8,13,15,CLU0
11,7,29,13,CLU0
5,18,3,41,CLU0
1,12,18,20,CLU0
10,15,13,26,CLU0
22,12,30,43,CLU0
17,20,12,41,CLU0
10,18,32,37,CLU0
4,29,7,18,CLU0
21,12,33,15,CLU0
13,8,64,35,CLU0
9,22,51,15,CLU0
10,25,30,22,CLU0
8,18,27,14,CLU0
6,18,30,21,CLU0
8,18,34,22,CLU0
13,14,22,33,CLU0
9,15,19,70,CLU0
8,16,26,75,CLU0
9,14,26,53,CLU0
16,18,18,45,CLU0
22,23,4,50,CLU0
14,21,10,58,CLU0
48,24,10,46,CLU0
80,72,48,64,CLU0
66,94,24,54,CLU0
83,56,91,43,CLU0
104,35,148,76,CLU0
59,56,106,95,CLU0
50,30,59,132,CLU0
76,19,64,28,CLU0
119,40,30,110,CLU0
124,53,26,72,CLU0
160,55,45,75,CLU0
119,60,91,22,CLU0
86,66,117,53,CLU0
96,58,133,44,CLU0
104,45,139,79,CLU0
103,50,138,78,CLU0
118,60,150,58,CLU0
122,38,175,112,CLU0
104,45,151,61,CLU0
101,28,135,33,CLU0
134,32,180,73,CLU0
151,46,160,111,CLU0
135,62,125,70,CLU0
114,50,139,75,CLU0
131,52,146,73,CLU0
143,50,149,113,CLU0
168,44,129,113,CLU0
158,59,131,113,CLU0
185,74,101,98,CLU0
164,62,61,70,CLU0
167,59,39,21,CLU0
202,56,28,100,CLU0
159,60,42,165,CLU0
